	Genus	Species	# segments	segmented
788	Nepovirus	Tomato ringspot virus	2	yes
789	Norwavirus	Grotenhout norwavirus	2	yes
790	Nuarterivirus	Nuarterivirus guemel	1	yes
791	Ocetevirus	Blattodean ocetevirus	3	yes
792	Ohlsrhavirus	Ohlsrhavirus northcreek	4	yes
793	Oleavirus	Olive latent virus 2	3	yes
794	Omegatetravirus	Dendrolimus punctatus virus	2	yes
795	Omegatetravirus	Helicoverpa armigera stunt virus	2	yes
796	Ophiovirus	Ophiovirus citri	3	yes
797	Ophiovirus	Ophiovirus freesiae	1	yes
798	Ophiovirus	Ophiovirus lactucae	4	yes
799	Ophiovirus	Ophiovirus mirafioriense	4	yes
800	Ophiovirus	Ophiovirus ranunculi	1	yes
801	Ophiovirus	Ophiovirus tulipae	1	yes
802	Ophiovirus	Ophiovirus vaccinii	3	yes
803	Orbivirus	African horse sickness virus	10	yes
804	Orbivirus	Bluetongue virus	10	yes
805	Orbivirus	Changuinola virus	10	yes
806	Orbivirus	Chenuda virus	10	yes
807	Orbivirus	Chobar Gorge virus	10	yes
808	Orbivirus	Corriparta virus	10	yes
809	Orbivirus	Epizootic hemorrhagic disease virus	10	yes
810	Orbivirus	Equine encephalosis virus	10	yes
811	Orbivirus	Eubenangee virus	10	yes
812	Orbivirus	Great Island virus	10	yes
813	Orbivirus	Lebombo virus	10	yes
814	Orbivirus	Orungo virus	10	yes
815	Orbivirus	Palyam virus	10	yes
816	Orbivirus	Peruvian horse sickness virus	10	yes
817	Orbivirus	St Croix River virus	10	yes
818	Orbivirus	Umatilla virus	10	yes
819	Orbivirus	Wad Medani virus	10	yes
820	Orbivirus	Wallal virus	10	yes
821	Orbivirus	Warrego virus	10	yes
822	Orbivirus	Yunnan orbivirus	10	yes
823	Orthobornavirus	Orthobornavirus alphapsittaciforme	7	yes
824	Orthobornavirus	Orthobornavirus betapsittaciforme	2	yes
825	Orthobunyavirus	Abras orthobunyavirus	3	yes
826	Orthobunyavirus	Aino orthobunyavirus	3	yes
827	Orthobunyavirus	Akabane orthobunyavirus	3	yes
828	Orthobunyavirus	Alajuela orthobunyavirus	3	yes
829	Orthobunyavirus	Anadyr orthobunyavirus	3	yes
830	Orthobunyavirus	Ananindeua orthobunyavirus	3	yes
831	Orthobunyavirus	Anhembi orthobunyavirus	3	yes
832	Orthobunyavirus	Anopheles A orthobunyavirus	3	yes
833	Orthobunyavirus	Anopheles B orthobunyavirus	1	yes
834	Orthobunyavirus	Apeu orthobunyavirus	3	yes
835	Orthobunyavirus	Bakau orthobunyavirus	1	yes
836	Orthobunyavirus	Batai orthobunyavirus	3	yes
837	Orthobunyavirus	Batama orthobunyavirus	1	yes
838	Orthobunyavirus	Bellavista orthobunyavirus	3	yes
839	Orthobunyavirus	Bertioga orthobunyavirus	3	yes
840	Orthobunyavirus	Bimiti orthobunyavirus	3	yes
841	Orthobunyavirus	Birao orthobunyavirus	3	yes
842	Orthobunyavirus	Bozo orthobunyavirus	3	yes
843	Orthobunyavirus	Brazoran orthobunyavirus	3	yes
844	Orthobunyavirus	Bruconha orthobunyavirus	3	yes
845	Orthobunyavirus	Buffalo Creek orthobunyavirus	3	yes
846	Orthobunyavirus	Bunyamwera orthobunyavirus	3	yes
847	Orthobunyavirus	Buttonwillow orthobunyavirus	3	yes
848	Orthobunyavirus	Bwamba orthobunyavirus	3	yes
849	Orthobunyavirus	Cache Valley orthobunyavirus	3	yes
850	Orthobunyavirus	Cachoeira Porteira orthobunyavirus	3	yes
851	Orthobunyavirus	California encephalitis orthobunyavirus	3	yes
852	Orthobunyavirus	Capim orthobunyavirus	3	yes
853	Orthobunyavirus	Caraparu orthobunyavirus	3	yes
854	Orthobunyavirus	Cat Que orthobunyavirus	3	yes
855	Orthobunyavirus	Catu orthobunyavirus	3	yes
856	Orthobunyavirus	Enseada orthobunyavirus	3	yes
857	Orthobunyavirus	Faceys paddock orthobunyavirus	3	yes
858	Orthobunyavirus	Fort Sherman orthobunyavirus	3	yes
859	Orthobunyavirus	Gamboa orthobunyavirus	3	yes
860	Orthobunyavirus	Gan Gan orthobunyavirus	3	yes
861	Orthobunyavirus	Guajara orthobunyavirus	3	yes
862	Orthobunyavirus	Guama orthobunyavirus	3	yes
863	Orthobunyavirus	Guaroa orthobunyavirus	3	yes
864	Orthobunyavirus	Iaco orthobunyavirus	3	yes
865	Orthobunyavirus	Ilesha orthobunyavirus	3	yes
866	Orthobunyavirus	Ingwavuma orthobunyavirus	3	yes
867	Orthobunyavirus	Jamestown Canyon orthobunyavirus	3	yes
868	Orthobunyavirus	Jatobal orthobunyavirus	3	yes
869	Orthobunyavirus	Kaeng Khoi orthobunyavirus	3	yes
870	Orthobunyavirus	Kairi orthobunyavirus	3	yes
871	Orthobunyavirus	Keystone orthobunyavirus	3	yes
872	Orthobunyavirus	Koongol orthobunyavirus	3	yes
873	Orthobunyavirus	La Crosse orthobunyavirus	3	yes
874	Orthobunyavirus	Leanyer orthobunyavirus	3	yes
875	Orthobunyavirus	Lumbo orthbunyavirus	3	yes
876	Orthobunyavirus	MPoko orthobunyavirus	1	yes
877	Orthobunyavirus	Macaua orthobunyavirus	3	yes
878	Orthobunyavirus	Madrid orthobunyavirus	3	yes
879	Orthobunyavirus	Maguari orthobunyavirus	3	yes
880	Orthobunyavirus	Mahogany Hammock orthobunyavirus	3	yes
881	Orthobunyavirus	Main Drain orthobunyavirus	3	yes
882	Orthobunyavirus	Manzanilla orthobunyavirus	3	yes
883	Orthobunyavirus	Mapputta orthobunyavirus	3	yes
884	Orthobunyavirus	Maprik orthobunyavirus	3	yes
885	Orthobunyavirus	Marituba orthobunyavirus	3	yes
886	Orthobunyavirus	Matruh orthobunyavirus	3	yes
887	Orthobunyavirus	Melao orthobunyavirus	3	yes
888	Orthobunyavirus	Mermet orthobunyavirus	3	yes
889	Orthobunyavirus	Moju orthobunyavirus	3	yes
890	Orthobunyavirus	Nyando orthobunyavirus	3	yes
891	Orthobunyavirus	Oriboca orthobunyavirus	3	yes
892	Orthobunyavirus	Oropouche orthobunyavirus	3	yes
893	Orthobunyavirus	Oyo orthobunyavirus	3	yes
894	Orthobunyavirus	Patois orthobunyavirus	3	yes
895	Orthobunyavirus	Peaton orthobunyavirus	3	yes
896	Orthobunyavirus	Potosi orthobunyavirus	3	yes
897	Orthobunyavirus	Sabo orthobunyavirus	3	yes
898	Orthobunyavirus	San Angelo orthobunyavirus	3	yes
899	Orthobunyavirus	Sango orthobunyavirus	3	yes
900	Orthobunyavirus	Schmallenberg orthobunyavirus	3	yes
901	Orthobunyavirus	Sedlec orthobunyavirus	3	yes
902	Orthobunyavirus	Serra do Navio orthobunyavirus	3	yes
903	Orthobunyavirus	Shark River orthobunyavirus	3	yes
904	Orthobunyavirus	Shuni orthobunyavirus	3	yes
905	Orthobunyavirus	Simbu orthobunyavirus	3	yes
906	Orthobunyavirus	Snowshoe hare orthobunyavirus	3	yes
907	Orthobunyavirus	Sororoca orthobunyavirus	3	yes
908	Orthobunyavirus	Tacaiuma orthobunyavirus	3	yes
909	Orthobunyavirus	Tahyna orthobunyavirus	3	yes
910	Orthobunyavirus	Tataguine orthobunyavirus	3	yes
911	Orthobunyavirus	Tensaw orthobunyavirus	3	yes
912	Orthobunyavirus	Tete orthobunyavirus	3	yes
913	Orthobunyavirus	Thimiri orthobunyavirus	3	yes
914	Orthobunyavirus	Triniti orthobunyavirus	3	yes
915	Orthobunyavirus	Trivittatus orthobunyavirus	3	yes
916	Orthobunyavirus	Turlock orthobunyavirus	3	yes
917	Orthobunyavirus	Utinga orthobunyavirus	3	yes
918	Orthobunyavirus	Witwatersrand orthobunyavirus	3	yes
919	Orthobunyavirus	Wolkberg orthobunyavirus	3	yes
920	Orthobunyavirus	Wyeomyia orthobunyavirus	3	yes
921	Orthocurvulavirus	Curvularia orthocurvulavirus 1	2	yes
922	Orthocurvulavirus	Fusarium graminearum orthocurvulavirus	2	yes
923	Orthocurvulavirus	Heterobasidion orthocurvulavirus	2	yes
924	Orthocurvulavirus	Lactarius rufus orthocurvulavirus 1	2	yes
925	Orthocurvulavirus	Lactarius tabidus orthocurvulavirus 1	2	yes
926	Orthocurvulavirus	Rhizoctonia solani orthocurvulavirus 1	2	yes
927	Orthocurvulavirus	Sclerotium hydrophilum orthocurvulavirus 1	2	yes
928	Orthocurvulavirus	Trichoderma harzianum orthocurvulavirus 1	2	yes
929	Orthodiscovirus	Orthodiscovirus coniellae	3	yes
930	Orthodiscovirus	Orthodiscovirus hispaniae	3	yes
931	Orthodiscovirus	Orthodiscovirus iberiae	3	yes
932	Orthodiscovirus	Orthodiscovirus missouriense	3	yes
933	Orthodiscovirus	Orthodiscovirus penicillii	3	yes
934	Orthohantavirus	Andes orthohantavirus	3	yes
935	Orthohantavirus	Asama orthohantavirus	2	yes
936	Orthohantavirus	Asikkala orthohantavirus	3	yes
937	Orthohantavirus	Bayou orthohantavirus	3	yes
938	Orthohantavirus	Black Creek Canal orthohantavirus	3	yes
939	Orthohantavirus	Bowe orthohantavirus	3	yes
940	Orthohantavirus	Bruges orthohantavirus	3	yes
941	Orthohantavirus	Cano Delgadito orthohantavirus	3	yes
942	Orthohantavirus	Cao Bang orthohantavirus	3	yes
943	Orthohantavirus	Choclo orthohantavirus	2	yes
944	Orthohantavirus	Dabieshan orthohantavirus	2	yes
945	Orthohantavirus	Dobrava-Belgrade orthohantavirus	3	yes
946	Orthohantavirus	El Moro Canyon orthohantavirus	2	yes
947	Orthohantavirus	Fugong orthohantavirus	3	yes
948	Orthohantavirus	Fusong orthohantavirus	2	yes
949	Orthohantavirus	Hantaan orthohantavirus	3	yes
950	Orthohantavirus	Jeju orthohantavirus	3	yes
951	Orthohantavirus	Kenkeme orthohantavirus	3	yes
952	Orthohantavirus	Khabarovsk orthohantavirus	3	yes
953	Orthohantavirus	Laguna Negra orthohantavirus	2	yes
954	Orthohantavirus	Luxi orthohantavirus	3	yes
955	Orthohantavirus	Maporal orthohantavirus	3	yes
956	Orthohantavirus	Montano orthohantavirus	3	yes
957	Orthohantavirus	Necocli orthohantavirus	3	yes
958	Orthohantavirus	Oxbow orthohantavirus	3	yes
959	Orthohantavirus	Prospect Hill orthohantavirus	3	yes
960	Orthohantavirus	Puumala orthohantavirus	3	yes
961	Orthohantavirus	Robina orthohantavirus	3	yes
962	Orthohantavirus	Rockport orthohantavirus	3	yes
963	Orthohantavirus	Sangassou orthohantavirus	3	yes
964	Orthohantavirus	Seoul orthohantavirus	3	yes
965	Orthohantavirus	Sin Nombre orthohantavirus	3	yes
966	Orthohantavirus	Tatenale orthohantavirus	3	yes
967	Orthohantavirus	Thailand orthohantavirus	3	yes
968	Orthohantavirus	Tula orthohantavirus	3	yes
969	Orthohantavirus	Yakeshi orthohantavirus	2	yes
970	Orthonairovirus	Abu Hammad orthonairovirus	3	yes
971	Orthonairovirus	Abu Mina orthonairovirus	3	yes
972	Orthonairovirus	Artashat orthonairovirus	3	yes
973	Orthonairovirus	Avalon orthonairovirus	3	yes
974	Orthonairovirus	Bandia orthonairovirus	3	yes
975	Orthonairovirus	Burana orthonairovirus	3	yes
976	Orthonairovirus	Chim orthonairovirus	3	yes
977	Orthonairovirus	Congoid orthonairovirus	3	yes
978	Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	3	yes
979	Orthonairovirus	Dera Ghazi Khan orthonairovirus	3	yes
980	Orthonairovirus	Dugbe orthonairovirus	3	yes
981	Orthonairovirus	Erve orthonairovirus	3	yes
982	Orthonairovirus	Estero Real orthonairovirus	3	yes
983	Orthonairovirus	Gossas orthonairovirus	3	yes
984	Orthonairovirus	Hazara orthonairovirus	3	yes
985	Orthonairovirus	Huangpi orthonairovirus	3	yes
986	Orthonairovirus	Hughes orthonairovirus	3	yes
987	Orthonairovirus	Issyk-kul orthonairovirus	3	yes
988	Orthonairovirus	Kasokero orthonairovirus	3	yes
989	Orthonairovirus	Keterah orthonairovirus	3	yes
990	Orthonairovirus	Kupe orthonairovirus	3	yes
991	Orthonairovirus	Leopards Hill orthonairovirus	3	yes
992	Orthonairovirus	Meram orthonairovirus	3	yes
993	Orthonairovirus	Nairobi sheep disease orthonairovirus	3	yes
994	Orthonairovirus	Pacific Coast orthonairovirus	3	yes
995	Orthonairovirus	Punta orthonairovirus	3	yes
996	Orthonairovirus	Qalyub orthonairovirus	3	yes
997	Orthonairovirus	Sakhalin orthonairovirus	3	yes
998	Orthonairovirus	Sapphire orthonairovirus	3	yes
999	Orthonairovirus	Scot orthonairovirus	3	yes
1000	Orthonairovirus	Soldado orthonairovirus	3	yes
1001	Orthonairovirus	Tacheng orthonairovirus	3	yes
1002	Orthonairovirus	Taggert orthonairovirus	3	yes
1003	Orthonairovirus	Tamdy orthonairovirus	3	yes
1004	Orthonairovirus	Thiafora orthonairovirus	3	yes
1005	Orthonairovirus	Tofla orthonairovirus	3	yes
1006	Orthonairovirus	Tunis orthonairovirus	3	yes
1007	Orthonairovirus	Vinegar Hill orthonairovirus	3	yes
1008	Orthonairovirus	Wenzhou orthonairovirus	3	yes
1009	Orthonairovirus	Yogue orthonairovirus	3	yes
1010	Orthonairovirus	Zirqa orthonairovirus	3	yes
1011	Orthophasmavirus	Anopheles orthophasmavirus	3	yes
1012	Orthophasmavirus	Coleopteran orthophasmavirus	3	yes
1013	Orthophasmavirus	Culex orthophasmavirus	3	yes
1014	Orthophasmavirus	Ganda orthophasmavirus	3	yes
1015	Orthophasmavirus	Hymenopteran orthophasmavirus 1	3	yes
1016	Orthophasmavirus	Hymenopteran orthophasmavirus 2	3	yes
1017	Orthophasmavirus	Kigluaik phantom orthophasmavirus	3	yes
1018	Orthophasmavirus	Niukluk phantom orthophasmavirus	3	yes
1019	Orthophasmavirus	Odonate orthophasmavirus	3	yes
1020	Orthophasmavirus	Orthophasmavirus bastukasense	3	yes
1021	Orthophasmavirus	Orthophasmavirus coredoense	3	yes
1022	Orthophasmavirus	Orthophasmavirus flenense	3	yes
1023	Orthophasmavirus	Orthophasmavirus moglotasense	3	yes
1024	Orthophasmavirus	Qingling orthophasmavirus	3	yes
1025	Orthophasmavirus	Wuchang cockroach orthophasmavirus 1	3	yes
1026	Orthophasmavirus	Wuhan mosquito orthophasmavirus 1	3	yes
1027	Orthophasmavirus	Wuhan mosquito orthophasmavirus 2	3	yes
1028	Orthopicobirnavirus	Orthopicobirnavirus beihaiense	2	yes
1029	Orthopicobirnavirus	Orthopicobirnavirus equi	2	yes
1030	Orthopicobirnavirus	Orthopicobirnavirus hominis	2	yes
1031	Orthoreovirus	Avian orthoreovirus	10	yes
1032	Orthoreovirus	Baboon orthoreovirus	10	yes
1033	Orthoreovirus	Broome orthoreovirus	10	yes
1034	Orthoreovirus	Mahlapitsi orthoreovirus	10	yes
1035	Orthoreovirus	Mammalian orthoreovirus	10	yes
1036	Orthoreovirus	Nelson Bay orthoreovirus	10	yes
1037	Orthoreovirus	Neoavian orthoreovirus	10	yes
1038	Orthoreovirus	Piscine orthoreovirus	10	yes
1039	Orthoreovirus	Reptilian orthoreovirus	10	yes
1040	Orthoreovirus	Testudine orthoreovirus	10	yes
1041	Orthotospovirus	Alstroemeria necrotic streak orthotospovirus	3	yes
1042	Orthotospovirus	Alstroemeria yellow spot orthotospovirus	3	yes
1043	Orthotospovirus	Bean necrotic mosaic orthotospovirus	3	yes
1044	Orthotospovirus	Calla lily chlorotic spot orthotospovirus	3	yes
1045	Orthotospovirus	Capsicum chlorosis orthotospovirus	3	yes
1046	Orthotospovirus	Chrysanthemum stem necrosis orthotospovirus	3	yes
1047	Orthotospovirus	Groundnut bud necrosis orthotospovirus	3	yes
1048	Orthotospovirus	Groundnut chlorotic fan spot orthotospovirus	3	yes
1049	Orthotospovirus	Groundnut ringspot orthotospovirus	3	yes
1050	Orthotospovirus	Groundnut yellow spot orthotospovirus	1	yes
1051	Orthotospovirus	Hippeastrum chlorotic ringspot orthotospovirus	3	yes
1052	Orthotospovirus	Impatiens necrotic spot orthotospovirus	3	yes
1053	Orthotospovirus	Iris yellow spot orthotospovirus	3	yes
1054	Orthotospovirus	Melon severe mosaic orthotospovirus	3	yes
1055	Orthotospovirus	Melon yellow spot orthotospovirus	3	yes
1056	Orthotospovirus	Mulberry vein banding associated orthotospovirus	3	yes
1057	Orthotospovirus	Pepper chlorotic spot orthotospovirus	3	yes
1058	Orthotospovirus	Polygonum ringspot orthotospovirus	3	yes
1059	Orthotospovirus	Soybean vein necrosis orthotospovirus	3	yes
1060	Orthotospovirus	Tomato chlorotic spot orthotospovirus	1	yes
1061	Orthotospovirus	Tomato spotted wilt orthotospovirus	3	yes
1062	Orthotospovirus	Tomato yellow ring orthotospovirus	3	yes
1063	Orthotospovirus	Tomato zonate spot orthotospovirus	3	yes
1064	Orthotospovirus	Watermelon bud necrosis orthotospovirus	3	yes
1065	Orthotospovirus	Watermelon silver mottle orthotospovirus	3	yes
1066	Orthotospovirus	Zucchini lethal chlorosis orthotospovirus	3	yes
1067	Oryzavirus	Rice ragged stunt virus	10	yes
1068	Ourmiavirus	Cassava virus C	3	yes
1069	Ourmiavirus	Epirus cherry virus	3	yes
1070	Ourmiavirus	Ourmia melon virus	3	yes
1071	Pacuvirus	Caimito pacuvirus	3	yes
1072	Pacuvirus	Chilibre pacuvirus	3	yes
1073	Pacuvirus	Pacui pacuvirus	3	yes
1074	Pacuvirus	Rio Preto da Eva pacuvirus	3	yes
1075	Pacuvirus	Tapirape pacuvirus	3	yes
1076	Pecluvirus	Indian peanut clump virus	2	yes
1077	Pecluvirus	Peanut clump virus	2	yes
1078	Phaeovirus	Feldmannia irregularis virus a	16	yes
1079	Phasivirus	Badu phasivirus	3	yes
1080	Phasivirus	Dipteran phasivirus	3	yes
1081	Phasivirus	Fly phasivirus	3	yes
1082	Phasivirus	Guadeloupe phasivirus	3	yes
1083	Phasivirus	Kimberley phasivirus	3	yes
1084	Phasivirus	Phasi Charoen-like phasivirus	3	yes
1085	Phasivirus	Wutai mosquito phasivirus	3	yes
1086	Phlebovirus	Adana phlebovirus	3	yes
1087	Phlebovirus	Aguacate phlebovirus	3	yes
1088	Phlebovirus	Alcube phlebovirus	3	yes
1089	Phlebovirus	Alenquer phlebovirus	3	yes
1090	Phlebovirus	Ambe phlebovirus	3	yes
1091	Phlebovirus	Anhanga phlebovirus	3	yes
1092	Phlebovirus	Arumowot phlebovirus	3	yes
1093	Phlebovirus	Bogoria phlebovirus	3	yes
1094	Phlebovirus	Buenaventura phlebovirus	3	yes
1095	Phlebovirus	Bujaru phlebovirus	3	yes
1096	Phlebovirus	Cacao phlebovirus	3	yes
1097	Phlebovirus	Campana phlebovirus	3	yes
1098	Phlebovirus	Candiru phlebovirus	3	yes
1099	Phlebovirus	Chagres phlebovirus	3	yes
1100	Phlebovirus	Cocle phlebovirus	3	yes
1101	Phlebovirus	Corfou phlebovirus	3	yes
1102	Phlebovirus	Dashli phlebovirus	3	yes
1103	Phlebovirus	Durania phlebovirus	3	yes
1104	Phlebovirus	Echarate phlebovirus	3	yes
1105	Phlebovirus	Embossos phlebovirus	3	yes
1106	Phlebovirus	Frijoles phlebovirus	3	yes
1107	Phlebovirus	Gabek phlebovirus	3	yes
1108	Phlebovirus	Gordil phlebovirus	3	yes
1109	Phlebovirus	Icoaraci phlebovirus	3	yes
1110	Phlebovirus	Itaituba phlebovirus	3	yes
1111	Phlebovirus	Itaporanga phlebovirus	3	yes
1112	Phlebovirus	Ixcanal phlebovirus	3	yes
1113	Phlebovirus	Karimabad phlebovirus	3	yes
1114	Phlebovirus	Kiborgoch phlebovirus	3	yes
1115	Phlebovirus	La Gloria phlebovirus	3	yes
1116	Phlebovirus	Lara phlebovirus	3	yes
1117	Phlebovirus	Leticia phlebovirus	3	yes
1118	Phlebovirus	Maldonado phlebovirus	3	yes
1119	Phlebovirus	Massilia phlebovirus	3	yes
1120	Phlebovirus	Medjerda phlebovirus	3	yes
1121	Phlebovirus	Mona Grita phlebovirus	3	yes
1122	Phlebovirus	Mukawa phlebovirus	3	yes
1123	Phlebovirus	Munguba phlebovirus	3	yes
1124	Phlebovirus	Naples phlebovirus	3	yes
1125	Phlebovirus	Nique phlebovirus	3	yes
1126	Phlebovirus	Ntepes phlebovirus	3	yes
1127	Phlebovirus	Odrenisrou phlebovirus	3	yes
1128	Phlebovirus	Oriximina phlebovirus	3	yes
1129	Phlebovirus	Pena Blanca phlebovirus	3	yes
1130	Phlebovirus	Penshurt phlebovirus	3	yes
1131	Phlebovirus	Perkerra phlebovirus	3	yes
1132	Phlebovirus	Punique phlebovirus	3	yes
1133	Phlebovirus	Punta Toro phlebovirus	3	yes
1134	Phlebovirus	Rift Valley fever phlebovirus	3	yes
1135	Phlebovirus	Rio Grande phlebovirus	3	yes
1136	Phlebovirus	Saint Floris phlebovirus	3	yes
1137	Phlebovirus	Salanga phlebovirus	3	yes
1138	Phlebovirus	Salehabad phlebovirus	3	yes
1139	Phlebovirus	Salobo phlebovirus	3	yes
1140	Phlebovirus	Sicilian phlebovirus	3	yes
1141	Phlebovirus	Tapara phlebovirus	3	yes
1142	Phlebovirus	Tehran phlebovirus	3	yes
1143	Phlebovirus	Tico phlebovirus	3	yes
1144	Phlebovirus	Toros phlebovirus	3	yes
1145	Phlebovirus	Toscana phlebovirus	3	yes
1146	Phlebovirus	Tres Almendras phlebovirus	3	yes
1147	Phlebovirus	Turuna phlebovirus	3	yes
1148	Phlebovirus	Uriurana phlebovirus	3	yes
1149	Phlebovirus	Urucuri phlebovirus	3	yes
1150	Phlebovirus	Viola phlebovirus	2	yes
1151	Phlebovirus	Zerdali phlebovirus	3	yes
1152	Phytoreovirus	Rice dwarf virus	12	yes
1153	Phytoreovirus	Rice gall dwarf virus	12	yes
1154	Phytoreovirus	Wound tumor virus	9	yes
1155	Pidchovirus	Coleopteran pidchovirus	3	yes
1156	Pidchovirus	Pidgey pidchovirus	3	yes
1157	Polymycovirus	Aspergillus fumigatus polymycovirus 1	4	yes
1158	Polymycovirus	Aspergillus spelaeus polymycovirus 1	4	yes
1159	Polymycovirus	Beauveria bassiana polymycovirus 1	4	yes
1160	Polymycovirus	Botryoshaeria dothidea polymycovirus 1	5	yes
1161	Polymycovirus	Cladosporium cladosporioides polymycovirus 1	5	yes
1162	Polymycovirus	Colletotrichum camelliae polymycovirus 1	8	yes
1163	Polymycovirus	Fusarium redolens polymycovirus 1	8	yes
1164	Polymycovirus	Magnaporthe oryzae polymycovirus 1	4	yes
1165	Polymycovirus	Penicillium digitatum polymycovirus 1	4	yes
1166	Polymycovirus	Penicillum brevicompactum polymycovirus 1	4	yes
1167	Pomovirus	Beet soil-borne virus	3	yes
1168	Pomovirus	Beet virus Q	3	yes
1169	Pomovirus	Broad bean necrosis virus	3	yes
1170	Pomovirus	Colombian potato soil-borne virus	3	yes
1171	Pomovirus	Potato mop-top virus	3	yes
1172	Pteridovirus	Pteridovirus filicis	2	yes
1173	Pteridovirus	Pteridovirus maydis	2	yes
1174	Quadrivirus	Rosellinia necatrix quadrivirus 1	4	yes
1175	Quaranjavirus	Quaranjavirus araguariense	7	yes
1176	Quaranjavirus	Quaranjavirus chadense	7	yes
1177	Quaranjavirus	Quaranjavirus johnstonense	2	yes
1178	Quaranjavirus	Quaranjavirus quaranfilense	6	yes
1179	Quaranjavirus	Quaranjavirus tyulekense	7	yes
1180	Quaranjavirus	Quaranjavirus wellfleetense	7	yes
1181	Reptarenavirus	California reptarenavirus	2	yes
1182	Reptarenavirus	Giessen reptarenavirus	2	yes
1183	Reptarenavirus	Golden reptarenavirus	2	yes
1184	Reptarenavirus	Ordinary reptarenavirus	2	yes
1185	Reptarenavirus	Rotterdam reptarenavirus	2	yes
1186	Ronavirus	Rotifer birnavirus	2	yes
1187	Rosavirus	Rosavirus B	2	yes
1188	Rotavirus	Rotavirus A	11	yes
1189	Rotavirus	Rotavirus B	11	yes
1190	Rotavirus	Rotavirus C	11	yes
1191	Rotavirus	Rotavirus D	11	yes
1192	Rotavirus	Rotavirus F	11	yes
1193	Rotavirus	Rotavirus G	11	yes
1194	Rotavirus	Rotavirus H	11	yes
1195	Rotavirus	Rotavirus I	11	yes
1196	Rotavirus	Rotavirus J	11	yes
1197	Rubodvirus	Apple rubodvirus 1	3	yes
1198	Rubodvirus	Apple rubodvirus 2	5	yes
1199	Rubodvirus	Grapevine rubodvirus 1	3	yes
1200	Rubodvirus	Grapevine rubodvirus 2	3	yes
1201	Sabavirus	South Bay sabavirus	2	yes
1202	Sadwavirus	Black raspberry necrosis virus	2	yes
1203	Sadwavirus	Chocolate lily virus A	2	yes
1204	Sadwavirus	Dioscorea mosaic associated virus	2	yes
1205	Sadwavirus	Sadwavirus LSV1	2	yes
1206	Sadwavirus	Sadwavirus PSVA	2	yes
1207	Sadwavirus	Satsuma dwarf virus	2	yes
1208	Sadwavirus	Strawberry mottle virus	2	yes
1209	Sardinovirus	Sardinovirus pilchardi	8	yes
1210	Sawastrivirus	Sanxia sawastrivirus	3	yes
1211	Scarabeuvirus	Scarabeuvirus blattae	2	yes
1212	Scarabeuvirus	Scarabeuvirus hubeiense	2	yes
1213	Scarabeuvirus	Scarabeuvirus lishiense	2	yes
1214	Seadornavirus	Banna virus	12	yes
1215	Seadornavirus	Kadipiro virus	12	yes
1216	Seadornavirus	Liao ning virus	12	yes
1217	Semotivirus	Caenorhabditis elegans Cer13 virus	1	yes
1218	Shangavirus	Insect shangavirus	3	yes
1219	Shaspivirus	Spider shaspivirus	3	yes
1220	Shilevirus	Shilevirus leptomonadis	3	yes
1221	Sopolycivirus	Formica exsecta virus 3	2	yes
1222	Stralarivirus	Stralarivirus LycMoV	2	yes
1223	Stralarivirus	Stralarivirus SLRSV	2	yes
1224	Striwavirus	Strider striwavirus	3	yes
1225	Tanzavirus	Human tanzavirus	3	yes
1226	Tapwovirus	Tapwovirus cesti	2	yes
1227	Telnavirus	Tellina virus 1	2	yes
1228	Tenuivirus	Echinochloa hoja blanca tenuivirus	3	yes
1229	Tenuivirus	European wheat striate mosaic tenuivirus	4	yes
1230	Tenuivirus	Iranian wheat stripe tenuivirus	3	yes
1231	Tenuivirus	Maize stripe tenuivirus	4	yes
1232	Tenuivirus	Melon tenuivirus	8	yes
1233	Tenuivirus	Rice grassy stunt tenuivirus	6	yes
1234	Tenuivirus	Rice hoja blanca tenuivirus	4	yes
1235	Tenuivirus	Rice stripe tenuivirus	4	yes
1236	Tenuivirus	Urochloa hoja blanca tenuivirus	2	yes
1237	Thogotovirus	Thogotovirus bourbonense	6	yes
1238	Thogotovirus	Thogotovirus dhoriense	6	yes
1239	Thogotovirus	Thogotovirus josense	6	yes
1240	Thogotovirus	Thogotovirus ozense	6	yes
1241	Thogotovirus	Thogotovirus sinuense	6	yes
1242	Thogotovirus	Thogotovirus thailandense	6	yes
1243	Thogotovirus	Thogotovirus thogotoense	6	yes
1244	Thogotovirus	Thogotovirus upoluense	6	yes
1245	Thottimvirus	Imjin thottimvirus	3	yes
1246	Thottimvirus	Thottopalayam thottimvirus	3	yes
1247	Tilapinevirus	Tilapinevirus tilapiae	10	yes
1248	Tobamovirus	Sunn-hemp mosaic virus	2	yes
1249	Tobravirus	Pea early-browning virus	2	yes
1250	Tobravirus	Pepper ringspot virus	2	yes
1251	Tobravirus	Tobacco rattle virus	2	yes
1252	Torovirus	Equine torovirus	3	yes
1253	Torradovirus	Carrot torradovirus 1	2	yes
1254	Torradovirus	Lettuce necrotic leaf curl virus	2	yes
1255	Torradovirus	Motherwort yellow mottle virus	2	yes
1256	Torradovirus	Squash chlorotic leaf spot virus	2	yes
1257	Torradovirus	Tomato marchitez virus	2	yes
1258	Torradovirus	Tomato torrado virus	2	yes
1259	Uukuvirus	American dog uukuvirus	2	yes
